
脆硫锑铅矿#Jamesonite#4PbS·FeS·Sb2S3或4PbS·FeS·3Sb2S3#单斜晶系#非均性显著。偏光色：灰、棕浅蓝、暗蓝色，底切面接近均质。#反射率为Ⅱ级，视觉反射率长轴为43.8，短轴为38.2#维氏硬度为68~126#白色（微带蓝绿）#清楚—显著：c较亮，白或黄白色（微带绿），b灰黄绿色，较暗，a暗黄绿或橄榄绿色#Ar：3.2°±0.1°#DAr=r>v#[Rs延长(-)] #Ps=(+)#DRr=r=v或r>v#DAR=蓝>>粉黄，中—强。#无#产于中、低温热液矿床中。呈针状、柱状晶体，常成放射状集合体。⊥延长方向解理通常易见；延长的聚片双晶极常见，且特征。细晶一般不具双晶。#辉锑矿的双反射和非均性更强。硫锑铅矿无解理，无双晶。辉铋矿反射率较高。
辉铜矿#Chalcocite#Cu2S#单斜晶系#非均性微弱。偏光色：翠绿色至浅粉红。#反射率为Ⅲ级，视觉反射率长轴为36.5，短轴为33.1#维氏硬度为58~98#灰白色带蓝或浅灰色带蓝。#不显或极微弱#Ar=0°27′#DAr=r≥v#[Rs延长(-)] #Ps=(+)#DRr=r≥v#DAR：蓝>>粉黄弱—中#无#产于中、低温热液矿床、淋积矿床、沉积矿床及变积矿床中。粗粒—细粒状集合体，具块状；胶状及疏松状构造。聚片双晶可见。浸蚀后显两向解理。#以浅蓝灰色、低硬度与斑铜矿共伴生为特征。
雌黄铁矿#Pyrrhotite#Fe1～xS(x=0～0.2)#六方晶系#非均性显著。偏光色：黄灰、绿灰、蓝灰、红棕。单斜者偶见斜消光。#反射率为Ⅲ级，视觉反射率长轴为40.3，短轴为34.2#维氏硬度为230~390#淡玫瑰棕色，在空气中渐渐形成锖色，但较均匀。化学成分不同，可使反射色稍有差异。#微弱—清楚：Re：棕乳黄色，较亮。Ro：红棕色，较晴#Ar：1.9°±0.1°#DAr=r<v#[Rs延长(-)] #Ps=(-)#DRr=不显#DAR：蓝>>黄，中—强#无#磁黄铁矿为一分布很普遍的矿物，常产于岩浆铜、镍、铂硫化矿床和矽卡岩、热液、沉积、变质矿床中。常呈它形粒状及其集合体出现。底解理在蚀变的标本中常见。双晶普遍。环带结构可见。强磁性。#特殊的反射色、双反射和反射多色性及非均性均为特征。
辰砂#Cinnabar#HgS#三方晶系#非均性显著，受内反射干扰。#反射率为Ⅳ级，视觉反射率长轴为30.4，短轴为27.8#维氏硬度为51~9810-25#灰白色带蓝色色调，或浅蓝色灰色。#微弱、油中清楚：Ro：浅灰微紫（或微带粉红色）；Re：较亮，灰白微黄。#Ar：3.1°±0.1°#DAr=r≈v#[Rs延长(-)] #Ps=(+)#DRr=r>v或r=v#DAR：微紫>>微黄，弱—不显#显明：亮红色或朱红色#常为低温热液的最后生成矿物，生成温度约在100℃左右。也可为火山喷气产物；亦可为沉积后生作用产物。可呈菱面体的自形晶或菱面体的贯穿双晶，常呈细板状及圆柱状集合体。#以特别显著的朱红色内反射及低硬度为特征。
雌黄#Orpiment#As2S3#单斜晶系#非均性特强，但往往被内反射掩盖。隐晶质者显均质性。细晶者非均性弱。#反射率为Ⅳ级，视觉反射率长轴为28.9，短轴为19.0#维氏硬度为26~3310#灰白色或浅灰色（随方位而异）。#清楚—显著：a：白色；b：浅灰白色微带红色；c：浅灰白色；a>c>b。隐晶质者不显。#Ar:5°13′#DAr=r≈v#[Rs延长(-)] #无#DRr=r>v#DAR：蓝>>红,常受内反射干扰而不清#显明（强烈而丰富）；浅黄色或柠檬黄色。#常产于低温矿床、温泉矿床、沉积后生矿床中。可呈板状、片状、柱状或针状晶体或他形粒状的块体出现，也可呈束状、放射状、土状、被膜状出现。解理(010)常见，沿(010)的滑移常见；双晶、环带未见。#以具显明的柠檬黄色内反射、强双反射、低硬度及与雄黄紧密伴生为特征。
淡红银矿#Proustite#3Ag2S·As2S3#六方晶系#非均性显著，常被内反射干扰。#反射率为Ⅳ级，视觉反射率长轴为27.4，短轴为24.1#维氏硬度为50~156#蓝灰色。#很清楚（较深红银矿显著）Ro：灰白带淡黄较亮；Re：灰带淡蓝，较晴。#Ar：2.0°±0.1°#DAr=r>v#[Rs延长(-)] #Ps=(+)#DRr=r>v#DAR：红>>蓝#显明：强烈的猩红至砖红色较深红银矿、辉锑银矿强烈。#常产于低温热液矿床中，低温火山热液、淋积矿床（硫化物的次生富集带）中也有产出。呈自形针状、不规则粒状、他形粒状集合体。解理、双晶、环带偶见。#本矿物与深红银矿为类质同象系列矿物，但本矿物的反射率稍低，内反射较显明，色较浅，双反射较明显。
雄黄#Realgar#As4S4#单斜晶系#非均性清楚至显著。但受内反射的强烈干扰，须在不完全正交下观察之。#反射率为Ⅳ级，视觉反射率长轴为20.7，短轴为18.7#维氏硬度为47~60#灰色微带紫色。#微弱有时清楚；红灰色至蓝灰色#Ar=0°30′#DAr=r≈v#无#无#DRr=r>v#DAR：不显#显明：强烈的橙红色或橙色#常产于低温热液矿床、温泉矿床和喷气矿床中。呈板状、棱柱状及其他粒状集合体，或呈孔隙充填物出现在其他金属矿物之间，可成皮膜状、土状、块状、粉末状。#以显明的橙红色内反射、低硬度及与雌黄紧密伴生为特征。
石墨#Graphite#C#六方晶系（2H石墨）,三方晶系（3R石墨）#非均性特强，偏光色：淡棕黄色。底切面显均质性，隐晶质变种显均质性。#反射率为Ⅳ级，视觉反射率长轴为21.5，短轴为7.0#维氏硬度为7~125-15#浅棕灰色#特强，Ro：灰色带棕色色调，Re：深蓝灰或深灰色。#Ar：20.0°±2.0°#DAr=r>v #[Rs延长(+)] #Ps=(+)#DRr=r<v(Re)r=v或r>v(Ro)#DAR：微蓝>>微玫瑰黄，弱—无#无#主要产于变质矿床中，岩浆、伟晶和气成矿床中亦可见，也偶见于沉积矿床及沉积岩中。呈细小的板状、叶片状、鳞片状及平行状、放射状集合体。平行滑移、弯曲、变形或波状消光很普遍。#与辉钼矿相似，但辉钼矿的最暗位相似于石墨的最亮位，辉钼矿的偏光色为暗蓝色。墨铜矿的反射色和产状与石墨不同。
墨铜矿#Valleriite#[(CuFeS2)·(Mg,Al,Fe,Ni)(OH)2]或Cu2Fe4S7#斜方晶系或六方晶系#非均性特强。偏光色：白至灰青色铜色。#反射率为Ⅳ级，视觉反射率长轴为19.3，短轴为12.0#维氏硬度为3650#古铜色、青铜色、褐色或褐黄色，很快变暗。#特强，Ro：浅灰褐色或青铜色至较暗的灰粉红紫色。Re：蓝灰色至暗灰色，似闪锌矿。#Ar：6°14′#DAr=r>v#[Rs延长(+)] #无#DRr=r≈v#DAR：红>>蓝#无#常产于矽卡岩矿床以及与超基性岩和基性岩有关的Cu-Ni、Pt、Cr矿床中。呈针状、线状，纤维状、蠕虫状、叶片状、板状、泡状、星状。#以古铜色反射色、特低的硬度、特强的双反射和非均性、极不易磨光等为特征。四方硫铁矿的反射色带粉红色、反射率高、磨光性好。
黄锡矿#Stannite#Cu2SnFeS4或Cu2S·FeS·SnS2#四方晶系#非均性微弱—清楚。偏光色：黄棕灰、橄榄绿色、紫灰色。#反射率为Ⅳ级，视觉反射率长轴为27.3，短轴为25.9#维氏硬度为146~236#浅灰色微带橄榄棕色或灰黄色、灰褐色、绿褐灰色。#不显—微弱，浅棕至棕橄榄绿色#Ar：1.1°±0.1°#DAr=r<v#[Rs延长(-)] #Ps=(-)#DRr=r<v#DAR：不显#无#主要产于矽卡岩型或热液型的锡石硫化物矿床中。常呈细粒他形晶集合体或呈细小晶粒、晶片、乳浊体包裹于其它矿物中。环带结构偶见。#以反射色较特殊与黝铜矿、闪锌矿、斑铜矿、磁铁矿易区别。黄锡矿各亚种之间须根据电子探针和x光粉晶资料区分。
